submission_id,feedback,program_name,assignment_name,created_at
17301,It may be helpful to attend the Gilcrease specific meeting that occurs prior to this.,Tulsa,Tulsa Parks and Recreation Board Regular Meeting,2025-07-02 18:58:46.735252+00
17291,Study the pictures of the commissioners on the website before documenting this assignment.,Bismarck,City Commission Meeting,2025-07-01 23:20:23.885642+00
17290,Meeting was canceled without notification.,Wichita,Regular Meeting,2025-07-01 22:28:34.313986+00
17287,Meetings are held at the library in Benson :) is there a way to find out who the board members are? It doesn’t seem the website is updated - thank you!,Omaha,Monthly Benson BID Board Meeting,2025-07-01 15:50:36.142239+00
17285,"I have more videos and images if they are needed and I have a few notes on how this test project went! I'm available to meet in person, over zoom or over the phone.",Akron,Neighborhood Special Project - Downtown,2025-07-01 03:18:51.776073+00
17284,"Although the meeting is recorded, the speakers in the room create an echo that makes the recordings difficult to hear.  I used my phone, sat right up front, and could barely understand my recording at times. 

It's difficult to determine who is speaking exactly. Everyone states their name, but it can be easy to miss. It might be worth taking a few extra minutes to talk with the city after the meeting adjourns to gather everyone's name. 

Heads up, they do not go in the case order listed on the agenda.",Akron,Board meeting,2025-07-01 02:11:44.223628+00
17280,The meeting starts at 1:30pm not 1pm.,San Diego,Borders Committee,2025-06-28 17:57:49.770302+00
17279,"Being early and having offline directions was important, there was no cell signal near the Hatchery. There was an exceptional amount of engagement and interaction within the attendees of the meeting, lots of opportunity to share ideas.",Columbia Gorge,Regular Meeting,2025-06-28 08:51:33.516416+00
17278,Tracking of petitions that are out there would be my recommendation. Perhaps a note about signing sign in sheet would be recommended because you could receive followup in information. It had columns for phone number and email address. This was separate from public comment sheets.,Chicago,[in person] Public Meeting: Damen Silos Demolition Permit,2025-06-28 01:30:23.663255+00
17271,Explain what a first reading and second reading means.,Tulsa,Regular Meeting,2025-06-27 22:43:04.825578+00
17270,"The Committee meetings and Board meeting go all day. The heavy lifting happens in Committee and the Committee recommendation is put on the Boad meeting on the consent calendar. So, you really should pay notetakers to attend the committees with hot topic issues in addition to attending the Board meeting.",San Diego,Board of Directors Meeting,2025-06-27 22:03:42.370207+00
17266,It was easy to find and a nice facility except there was a large pillar in the middle of the meeting room that made it difficult to see the other half of the audience!,Detroit,Detroit Tenants Rights Commission — IN-PERSON ONLY,2025-06-27 19:22:54.860717+00
17265,"Parking is free and accessible from Fig Ave, you'd need to cross the plaza to get to the Council Chambers.",San Diego,Human Relations Commission,2025-06-27 19:15:28.714576+00
17264,"When writing summaries after completing the notes, I recommend beginning with short keywords that will be the basis for your points. I also find it helpful to highlight recurring patterns within meeting notes as you take this-this can also help you determine what will be most relevant to later summaries.",Detroit,Board of Police Commissioners,2025-06-27 18:50:42.683664+00
17261,It was explained that the meeting was mainly to hear from the public. There did not seem to be an agenda.,Detroit,Detroit Tenants Rights Commission — IN-PERSON ONLY,2025-06-27 14:27:44.591459+00
17257,"This board is EXTREMELY quiet.  Minutes from the board's July 12 meeting which were approved at this meeting note that statements from two board members were ""unable to capture"" because of ""technical difficulties"" - I cannot help but wonder if voices were simply too low for YouTube or other recordings to capture.  Personally I'm interested in reviewing this meeting's YouTube copy later to double-check my impression of this meeting.",Indianapolis,Regular Meeting,2025-06-27 13:05:59.859532+00
17256,"There was an issue with the air conditioner, so it was very very cold and if that is not fixed they may move it back to City Hall next month.",Wichita,Citizen Review Board Monthly Meeting,2025-06-27 12:44:24.154644+00
17252,"If a meeting like this is scheduled to be documented again, it would be really helpful to know more about the structure and expectations ahead of time. This one had a very unique and in-depth format, and clearer communication beforehand would’ve helped us prepare better—or decide whether we were able to commit. Transparency up front makes all the difference.",Indianapolis,Indy Health District community meeting,2025-06-27 04:24:42.61219+00
17251,"This meeting ran way over on time, it was supposed to be 2 hours. The meat of the meeting didn't even begin until 45 min in due to Closed Session time.  Future Documenters should know that the time limits seem to be more of a suggestion than the reality.",Los Angeles,Board of Directors - Regular Board Meeting,2025-06-27 04:15:51.996426+00
17247,"This was a great first experience. I noticed that the motions to introduce votes on resolutions went really quickly, so that was hard for me to follow. I also wondered about linking to other relevant documents or websites while live-tweeting, and whether that can be addressed in future trainings.",Chicago,[remote or in person] Chicago Board of Education,2025-06-27 01:30:07.832178+00
17243,Parks and recreation meetings are consistently lax in comparison to the procedure observed on other boards and commissions.,Dallas,Park and Recreation Board,2025-06-26 23:21:58.815401+00
17240,I’m not sure if it’s accurate to say decisions were made in advance? But I just feel like they made pretty big changes basically instantly with no backlash amongst them and that’s a bit odd to me.,Detroit,"WSU, Board of Governors - IN PERSON ONLY",2025-06-26 21:41:58.566456+00
17239,"Agenda and minutes are distributed at the start of the meeting. However, agenda follows same format for each meeting. Websites lists meeting date and time. Meeting room is 2nd door on right upon entering Freedom Hall",Akron,Commissioners meeting,2025-06-26 21:32:28.438559+00
17237,whoops looks like the checlist submission didn't go through (I was using a hotspot) so I'm trying again.,Chicago,[remote or in person] Metropolitan Water Reclamation District Board of Commissioners,2025-06-26 20:03:57.513819+00
17234,"Agenda and other materials provided the night before the meeting (after 8 p.m. Wed. June 25, 2025) so plan on staying up late or getting up early for these materials.",Detroit,"DHC, Board of Commissioners",2025-06-26 17:34:14.780531+00
17229,"There were actually two meeting.  The first one started at 8;30 It was the Douglas County Health Center.  It took me more than the hour before and the hour after to write up these notes.  There is a lot going on at the DC Board of Commissioners.  // I get the message that the URL is incorrect; but, I just copied and pasted it.  If you go to the Official website of Douglas County, Nebraska.  You can get the information.",Omaha,Douglas County Board of Commissioners,2025-06-26 14:55:20.255089+00
17228,"I was able to watch the meeting, but because of an unplanned personal occurrence and a technical hiccup, I was unable to record it or hear it. Part of the problem was a bad interface with WebEx. Two days after the meeting, I'm still trying to get a copy of the recording or at least a copy of the presentation deck from the city. I tried to get the deck in advance and even interviewed the presenter in advance, but to no avail. It was a reminder to try to line up your ducks in advance of an assignment, just in case things go sideways.",Fort Worth,Design plan: AM Pate Safe Route Project,2025-06-26 13:49:48.422591+00
17226,"The store manager did not have any issue with me collecting the data. I gave them to letter just in case. 
Some of the item prices were hidden.",Detroit,Special Assignment: Documenting Detroit Grocery Stores,2025-06-26 11:34:30.358623+00
17224,"Just for future reference, if the location be notified before our arrival by one of you, that would prevent this situation from reoccurring.",Detroit,Special Assignment: Documenting Detroit Grocery Stores,2025-06-26 04:05:31.039535+00
17220,I was unable to make the meeting. I did not know that the meeting location had changed until I had gotten to the original location.,Chicago,"[in person] 9th Police District Council - Deering (New City, Gage Park, Near South Side, South Lawndale, Bridgeport, Mckinley Park, Fuller Park, West Englewood, Englewood, Brighton Park, Douglas, Armour Square, and Lower West Side)",2025-06-26 01:02:43.284097+00
17218,"Just a note on some of the selections I chose: it seemed that they all knew Unkel was resigning and knew that there wouldn't be a quorum if he resigned halfway through, so they could end the meeting earlier, but idk how true that is. It was definitely one of the more interesting ones I've covered!",Wichita,Regular Meeting,2025-06-25 23:31:51.232526+00
17217,"The CPC Meeting did not provide handouts of the Meeting Agenda instead it was shown as an overhead that was difficult to read even though I was seated in the second row. Also, case ""exhibits"" were not available, but they were presented on the overhead and still not easy to read. I see the Agenda is available on line if you remember to print it off. A Security Officer gave me his which saved the day. I contacted  City Hall and asked how I could get photos from today's meeting. I was directed to contact Communication and Public Engagement  at 817-392-8889. Also the Commissioners names are not shown overhead when speaking. They have name plates that are not visible  when looking to them from the left and right of the CPC Chair. The Commissioners are seated in a U formation.

Finally... I would never go to a meeting without the OTTER app!",Fort Worth,Regular Meeting,2025-06-25 23:28:50.036259+00
17211,"Didn't find an agenda for this meeting, there has not one provided at the meeting. A physical survey was given to me to return with any questions and my information.",New Brunswick,Municipal Homelessness Prevention Roundtable Meeting,2025-06-25 16:43:52.586436+00
17209,"The city council meeting scheduled for June 25, 2025 was cancelled on June 17,2025. I reached out the office of Alderman Brian Hopkins, the Chairman of the Committee. His office stated that the meeting was cancelled “out of respect for the fallen officer’s funeral that is today.” They were referring to the funeral of CPD Officer Krystal Rivera, who was accidentally shot on June 5, 2025 by her partner while chasing a suspect through a building.",Chicago,[remote or in person] Committee on Public Safety,2025-06-25 15:30:49.357139+00
17205,You will need to update your board member list for this board. Mary Ann Sullivan is the current chairwoman of the board. Neely and Jackson are stepping down.,Indianapolis,Indianapolis Charter School Board meeting,2025-06-25 04:44:12.254125+00
17204,Council held 7 meetings. It was confusing because they voted on the same legislation more than once.,Cleveland,Regular Meeting,2025-06-25 04:00:17.843971+00
17202,The starting and ending times are estimates.,Fort Worth,Local Development Corporation (LDC),2025-06-25 03:07:59.317577+00
